id,latitude,longitude,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms_num,minimum_nights,price_eur,review_scores_rating,number_of_reviews,unavailable_rate_90d
3176,52.53471,13.4181,Prenzlauer Berg Südwest,Entire home/apt,Entire rental unit,2,1.0,1.0,63,105.0,4.63,149,0.0
9991,52.53269,13.41805,Prenzlauer Berg Südwest,Entire home/apt,Entire rental unit,7,4.0,2.5,6,135.0,5.0,7,0.18681318681318682
14325,52.54813,13.40366,Prenzlauer Berg Nordwest,Entire home/apt,Entire rental unit,1,0.0,1.0,150,75.0,4.68,26,0.0
17904,52.49419,13.42166,Reuterstraße,Entire home/apt,Entire rental unit,2,0.0,1.0,92,28.0,4.77,298,0.3296703296703297
22438,52.53408,13.38871,Brunnenstr. Süd,Entire home/apt,Entire rental unit,2,2.0,1.0,93,53.0,4.7,182,0.0
22677,52.53355,13.40476,Brunnenstr. Süd,Entire home/apt,Entire rental unit,6,2.0,1.0,4,164.0,4.81,581,0.0
26543,52.54419,13.41956,Helmholtzplatz,Entire home/apt,Entire condo,4,2.0,2.0,180,260.0,4.66,201,0.0
28156,52.54804,13.40349,Prenzlauer Berg Nordwest,Entire home/apt,Entire rental unit,1,0.0,1.0,150,70.0,4.66,34,0.0
30295,52.54596,13.42291,Helmholtzplatz,Entire home/apt,Entire rental unit,8,2.0,1.0,4,172.0,4.8,494,0.07692307692307687
34854,52.49546,13.30858,Düsseldorfer Straße,Entire home/apt,Entire rental unit,4,1.0,1.0,92,82.0,5.0,3,0.0
37004,52.49376,13.36408,Schöneberg-Nord,Private room,Private room in rental unit,4,1.0,1.0,20,52.0,4.74,37,1.0
42487,52.49661,13.44038,südliche Luisenstadt,Private room,Private room in condo,5,1.0,1.5,1,54.0,4.88,25,1.0
42809,52.51099,13.45642,Frankfurter Allee Süd FK,Entire home/apt,Entire rental unit,4,2.0,1.0,90,200.0,4.91,201,0.06593406593406592
57049,52.54758,13.40632,Prenzlauer Berg Nordwest,Entire home/apt,Entire rental unit,4,2.0,2.0,3,290.0,4.92,142,1.0
58780,52.53572,13.42739,Prenzlauer Berg Süd,Entire home/apt,Entire rental unit,4,3.0,1.5,3,220.0,4.83,77,0.0
